Company,Description,Experience,Salary,Title
Sciente Consulting Pte. Ltd,"Skills : Risk Data Analyst , Data Analyst , Data Analysis , data integrity , Data Validation , Data Extraction , Data Management Posted: a month ago",Not Specified,"Job Description : Great opportunity to work with one of theleading banks in Singapore and be a part of Risk Data Mart team for performing daily operational data checks. Mandatory Skill(s) * Degree or Diploma in Computer Science, Business Studies",Risk Data Analyst
Wsh experts Pte Ltd,"Skills : Data Manager , Administrator , reporting SOP , incident reports , data , Data Management Posted: 18 days ago",Not Specified,Job Description : Job Roles & Responsibilities * Be the overall administrator of Geo-Spatial * Train data management ChatBot regularly * Review the data management eCourseWare yearly to ensure it is relevant in relation to IM * Review a,Data Manager
Sciente Consulting Pte. Ltd,"Job Description : If you are an experienced and passionate Data Engineer who enjoys working in a highly entrepreneurial work environment, this is the opportunity for you. Excellent career opportunity to manage, design, develop and deliver the data Skills : Data Analyst , Reporting Analyst , MIS Analyst , Mis Executive , Data Entry , Data Mining , Research Analyst",3-5 Years,Not Specified,Data Engineer
Sciente Consulting Pte. Ltd,"Job Description : An exciting opportunity to build your career in Data Science platformto buildthe application and data teams to develop machine learning models for awell-established client in Singapore. Mandatory Skill(s) * Bachelor’s Degree, p Skills : Data Analyst , Advance Analytics , Business Analysis , R , Data Analytics , Sql , Oracle , Python , SAS , Machine Learning",2-5 Years,Not Specified,Data Analyst
Sciente Consulting Pte. Ltd,"Job Description : Our client is an established organization within the Banking & Financial Services domain. They are seeking for aData Analyst to be part of the Data Management team. You will be performing consistent data analysis to create dashboa Skills : Data Analyst , Data Entry , R , Research Analyst , Data Mining , perl , python , Sql , User Acceptance Testing",2-3 Years,Not Specified,Data Analyst
Oracle Corporation Asia Pacific Division,"Job Description : Preferred Qualifications About Oracle Data Cloud Oracle Data Cloudhelps marketers use data to capture consumer attention and drive results. Usedby 199 of the 200 largest advertisers, our Audience, Context and Measurementsolutions e Skills : Senior Client Partner , sell side , Sales , Business development , Relationship Management",5-8 Years,Not Specified,"Senior Client Partner, Sell Side (SEA %26 Greater China Region)"
Recruit Express Pte. Ltd,Job Description : * Accurate abstraction of data and assignment of DRG * Abstraction of complete and accurate diagnoses and proceduresÂ * Input data into computer system * Communicate effectively with health care professionals to clarify Skills : Healthcare - Pharmaceutical / Life Science / Medical Device / Clinical Research / Regulatory Affairs,1-2 Years,Not Specified,"Clinical Coder **NURSES Looking for Office Hours, 5 Days**"
Sciente Consulting Pte. Ltd,"Hiring for Data Engineer Skills : Warehousing , Data Engineer , Sas Bi , Itil , Etl , Data Modeling , Database Design , SSIS , Ssrs , Ssas",0-2 Years,Not Specified,Data Engineer
Sciente Consulting Pte. Ltd,"Skills : Data Analyst , New Cost Allocation , Data Analysis , Data Mapping , Etl , Agile , Data Profiling , Data Cleansing Posted: a month ago",Not Specified,"Job Description : An exciting opportunity for Analytics professionals to deepen their skill sets in data analysis for strategic initiatives within the financial domain. Mandatory Skill(s) * Degree in Banking, Computer Science or Engineering-rela",Data Analyst – New Cost Allocation
PeopleSearch Pte Ltd,"Job Description You will responsible for managing the overall strategy, design, execution and delivery of the data, data marts, source images and other related projects tapping on the data in the warehouse. The position requires strong technical ha Skills : IT - IFRS17 , SENIOR PROJECT MANAGER",10-13 Years,Not Specified,"SENIOR PROJECT MANAGER, IT - IFRS17"
Sciente International Pte Ltd,"You will lead a team and grow the technology talent search business within the assigned market. Skills : Recruitment Head , Hiring , CEI , Executive Search , Technical Recruitment , Recruitment Manager , Placement Management",8-10 Years,Not Specified,Manager - Technology Talent Search
GMP Technologies,"Monitoring and maintaining the general health of the IT System. Ensuring the systems are operating at optimal level without issues and manage the change requests, defects management as well as the business-as-usual activities Skills : financial applications , Swift Messaging , Itil Certified , RDBMS , Mssql , Oracle , DOS , UNIX , Vba",5-8 Years,Not Specified,Senior System Analyst - Application (Permanent / Banking)
GECO Asia Pte Ltd,Posted: 13 days ago APPLY,Not Specified,"Job Description We are looking for a Big Data Sr. Developer, who is/are able to fulfill the following requirements: Duration: 12 Months Requirements: - With atleast 5 - 7 Relevant Yrs. of experience - Mandatory skills: Big Data, Hadoop, SQL - Domai",Big Data Sr. Developer
Recruit Express Pte. Ltd,"Skills : Accounting / Auditing / Tax , Administrative Support / Secretarial , Banking & Finance , Chemist / Research Scientist Posted: 4 days ago",Not Specified,Job Description : Responsibilities: • Handle call enquires for the doctors/ nurses and healthcare professionals • Provide information and excellent customer service with regards to the healthcare industry • Help doctors to take down notes and emai,"Temp/ Perm Call Center Staff (Office Hours 5 Days, Training Provided, Islandwide)"
Sciente Consulting Pte. Ltd,"Job Description : Our client is looking for a dynamic and meticulous individual to be a part of their data governance team, overseeing data consistency, quality and confidentiality. Mandatory Skill(s) * Degree in Computer Science, Engineering, I Skills : AVP , Enterprise Data Governance",2-5 Years,Not Specified,"AVP, Enterprise Data Governance"
Sciente Consulting Pte. Ltd,"Job Description : An excellent opportunity for an experienced Head who has rich exposure to Data Governance, Data Advisory and Data Reporting to join one of the leading organization. You will be leading a team responsible for the development and ma Skills : Head , Data Governance & Controls , Data Advisory , data reporting , Data Management Collection , Integration",2-5 Years,Not Specified,Head – Data Governance & Controls
Sciente Consulting Pte. Ltd,"Job Description : Our client is looking for a creative and collaborative Data Architect who will be responsible to design and implement data architecture and manage at the enterprise level. Mandatory Skill(s) * Degree in Computer Science, Engine Skills : cybersecurity solutions , privacy protection , Data Architecture , Data Management , Data Governance",3-6 Years,Not Specified,Senior Manager (Data Architecture)
Sciente Consulting Pte. Ltd,"Job Description : Our client is looking for a Manager for a Data Strategy team You will work collaboratively with and through all levels in the organisation and partners to support the digital transformation journey to adopt new data science and ar Skills : data strategy manager , AI Technologies , data assets; , Data Science",3-6 Years,Not Specified,Data Strategy Manager
Sciente International Pte Ltd,"Seeking a dynamic and experienced Digital Service Delivery Manager for one of the well established organization to support Digital Transformation Journey. Skills : Customer Journey , Customer Experience , Project Manager , User Experience , Ux , UI , User Stories , Use Cases",10-15 Years,Not Specified,"Manager, Digital"
Recruit Express Pte. Ltd,"Job Description : Job Summary The Clinical Research Project Manager will assist in the development, monitoring, and completion of multiple medical clinical trials at all phases of development. This position will involve primary contact with medical Skills : Accounting / Auditing / Tax , Administrative Support / Secretarial , Banking & Finance , Chemist / Research Scientist",10-13 Years,Not Specified,Clinical Trials Sr Assistant Manager (Pilot --> Phase IV)
Oracle Corporation Asia Pacific Division,"Job Description : Preferred Qualifications Job Description – Senior Solution Consultant, Southeast Asia %26amp; Greater China Oracle Data Cloud Preferred Qualifications Senior Solution Consultant, Southeast Asia %26amp; Greater China About Oracle Skills : Senior Solutions Consultant , Oracle Data Cloud , Oracle Data , project management",3-6 Years,Not Specified,Senior Solutions Consultant (SEA %26 Greater China) - Oracle Data Cloud
Recruit Express Pte. Ltd,Skills : Legal & Compliance Posted: 4 days ago,Not Specified,"Job Description : * To help out essentially to key in/reset trading limits for clients. * To retrieve and print out customer data from AS400 MCIS, check and sort the printouts according to set criteria, do data entry, etc Requirements: *",2 months Risk Management Assistant
Talent Trader Group Pte Ltd,"Data Engineer (Big Data) Skills : Data Engineer , Big Data , Spark , Hadoop , Hive , Sql , Object Oriented Programming , Java , R Language",1-4 Years,Not Specified,Data Engineer (Big Data)
Sciente Consulting Pte. Ltd,"Job Description : An excellent job opportunity that utilize your Project Management expertise in Data related projects. Mandatory Skill(s) * Degree in Statistics, Analytics, Applied Mathematics, Operation Research, or equivalent quantitative fie Skills : Project Manager (Data)",5-8 Years,Not Specified,Project Manager (Data)
Sciente Consulting Pte. Ltd,"Job Description : We arelooking for a competent & passionate Application Data Specialistfor designing,conducting and implementing statistical data analysis to support a critical financial system.This opportunity is with a leading financial industry Skills : Application Data Specialist , .NET / C# , statistical data analysis , Sql Database , Microsoft Excel , Macros",3-5 Years,Not Specified,Application Data Specialist
Sciente Consulting Pte. Ltd,"Job Description : Our client is looking for an experienced DataArchitectwho will be responsible to design and implement Big Data Platform,providing leadership fordatamanagement at the enterprise levelsuch asdatamodeling, metadata management and inf Skills : techno-functional design , data analytics solutions , DataSOA , datamanagement , semantic modeling",10-13 Years,Not Specified,Big Data Architect
Sciente Consulting Pte. Ltd,"Job Description : Our client is an established organization within the Banking & Financial Services domain. They are seeking for a Data Analyst to be part of the Data Quality team. Using BI tools like Informatica Data Quality (IDQ) or PowerBI, you Skills : Data Quality Analyst , Data Analyst , business intelligent , Data Analysis , Informatica Data Quality , Powerbi",2-5 Years,Not Specified,Data Quality Analyst
Sciente Consulting Pte. Ltd,Job Description : Our client is an established organization within the Banking & Financial Services domain. They are seeking for a Business Analyst to be part of the Data Management team. You will be performing consistent data analysis to create da Skills : Business Analyst (Data),2-3 Years,Not Specified,Business Analyst (Data)
Talent Trader Group Pte Ltd,Job Description : Job Description Responsibilities: * Will be gathering data migration client requirements and draw out project plan/process. * Work with different teams to ensure seamless execution of migration project. * Oversea plann Posted: 24 days ago,1-4 Years,Not Specified,Data Migration Specialist
Xchanging Malaysia Sdn Bhd,"Skills : Data Science Intern , C++ , Python , Tensorflow , Keras , RDBMS , Nosql , Automation Tools , system Integration Posted: a month ago",Not Specified,"Job Description : Job Description: Roles and Responsibilities ·Facilitate necessary research, preliminary analysis and documentation. ·Assist the DXC core team on building, establishing standard re-usable system components/frameworks. ·Assist in bu",Data Science Intern
Sciente Consulting Pte. Ltd,"Job Description : An exciting opportunity for analytics professionals to deepen their skill-sets and support the implementation of the Management Information System from a functional perspective. Mandatory Skill(s) * Bachelor's Degree in IT, Bus Skills : Senior Data Analyst , Data Analyst , IT , Business , Accounting , Finance , Project Implementation , Data Management",3-6 Years,Not Specified,Senior Data Analyst
Sciente Consulting Pte. Ltd,Job Description : We are looking for a experiencedData Analyst who has rich experience in implementinglarge-scale data migration projects inBankingdomain. This role will give you the opportunity to work with Business Analytics team withinConsumer B Skills : Data Analyst (Migration),5-8 Years,Not Specified,Data Analyst (Migration)
Sciente Consulting Pte. Ltd,"Job Description : An excellent opportunity for a Business Intelligence Analyst to be a part of Business Analytics team within the Consumer Banking Group in a established Bank. Mandatory Skill(s) * Degree in Computer Science, Computer Engineering Skills : Data Visualization Analyst , qlikview development , Teradata , SAS",5-8 Years,Not Specified,Data Visualization Analyst
Sciente Consulting Pte. Ltd,"Skills : Data Governance Analyst , Data Analyst , Financial Services , data base concepts , designing techniques Posted: a month ago",Not Specified,"Job Description : An exciting opportunity awaits you! Our client is looking for a Data Analyst to support the Data Governance projects in the financial services industry. Mandatory Skill(s) * Degree in Computer Science, Information Technology or",Data Governance Analyst
Sciente Consulting Pte. Ltd,"Job Description : Our client is looking for Manager, Data Warehouse to design and support overall management of Reporting Service and Enterprise Data Warehouse. Mandatory Skill(s) * Degree/Diploma in IT, Computer Science or any related field; Skills : Manager , delivery management , Data Warehouse , Big Data , SSIS , Hadoop , Spark , Kafka , Data Quality",10-13 Years,Not Specified,Manager (Data Warehouse)
Sciente Consulting Pte. Ltd,"Job Description : An exciting opportunity for Analytics professional to deepen skill sets in Data Analysis. Mandatory Skill(s) * Bachelor’s degree, preferably in a field ofStatistics,Applied Mathematics, or Computer Science; * At least 4 year Skills : Manager , R , Business Intelligence , Data Analytics , Tableau , Python , SAS",4-7 Years,Not Specified,Manager (Data Analytics)
Oracle Corporation Asia Pacific Division,Job Description : Preferred Qualifications Oracle Data Cloud (ODC) –Deal Solutions Specialist Job Description: The Oracle Data Cloud(ODC) Deal Solutions Team is responsible for supporting contracting andbusiness development initiatives for the ODC G Skills : Deal Manager - Oracle Data Cloud,7-10 Years,Not Specified,Deal Manager - Oracle Data Cloud
Kerry Consulting Pte Ltd,"Skills : Big Data Engineer , Commodity Trading Posted: 12 days ago",Not Specified,"Job Description : Description * Leading international commodity firm * Opportunity to be part of an exciting transformation journey * APAC focus This is leading natural resources multinational, with Singapore as its Asia Pacific Headquar","Big Data Engineer, Commodity Trading"
APBA TG HUMAN RESOURCE PTE LTD,"Job Requirements: Must have over 3-5 years of experience especially in building the data warehouses and system analysis, design, development, testing and production, implementation. Should have strong experience with data warehousing, data migration, Skills : Senior Developer , Etl , Data Management , data warehouses , System Analysis , Sql",3-5 Years,Not Specified,Senior Developer – ETL/Data Management
Sciente Consulting Pte. Ltd,"Skills : planning , Data Analysis , Data Architect , Enterprise Architecture , Data Warehousing , Data Architecture Posted: a month ago",Not Specified,"Job Description : If you have proven track record as a Data Architect in large projects with experience in planning and deploying the architecture solutions, this might be the role for you! Mandatory Skill(s) * Degree in Computer Science, Engine","Data Architect, Enterprise Architecture"
Spring Professional Malaysia Sdn Bhd,"Job Description : About the Client My client is a business IT and consulting company headquarted in Beijing, China. Its key business activities include project management, business intelligence, data analysis and data modeling, cloud computing, dig Posted: 12 days ago",2-5 Years,Not Specified,IoT Integration Engineer
Recruit Express Pte. Ltd,Skills : Human Resource Posted: 20 hours ago,Not Specified,"Job Description : * Processing payroll for designated job sites * Leave and claim interface and verification for payroll processing * Collecting, compiling, entering, and updating payroll data in PROSOFT * Processing new hires, terminatio",Contract Payroll Officer $3200
Sciente Consulting Pte. Ltd,"Job Description : An exciting opportunity for candidates to be part of an investment team, working on Group-Wide Management Information System projects overlooking the organisation's performance and risk calculations. Mandatory Skill(s) * Bachel Skills : MIS Data Business Analyst , MIS Data , Data Business Analyst , Business Analyst , BA , System Analyst",3-6 Years,Not Specified,MIS Data Business Analyst
Sciente Consulting Pte. Ltd,"Data Architect Skills : Operation Data Stores , Enterprise Data Warehouses , Data Architect , Data Modeling , Hadoop , Etl Development",4-7 Years,Not Specified,Data Architect
Wsh experts Pte Ltd,Skills : BIA Data Integration Developer Posted: 18 days ago,"42,000-60,000 SGD","Job Description : Job Roles & Responsibilities * Design Extract, Transform and Load (ETL) strategy across multiple data * Work with other team members to ensure that all system components in * Provide on-site support. * Ensure the quali",BIA Data Integration Developer
Sciente Consulting Pte. Ltd,Job Description : An exciting opportunity for Data Analytics professionals to deepen their business and data analysis skills in one of the leading banks working on various on-going employee experience enhancement initiatives. Mandatory Skill(s) Posted: a month ago,5-8 Years,Not Specified,Data Analyst
Recruit Express Pte. Ltd,"Job Description : * Responsible for the daily operations of the clinical department * Budgeting, review of operations workflows, data analytics, training of staff * Work closely with other hospital professionals from other operational depart Skills : Healthcare - Nurse / Allied Healthcare , Healthcare - Pharmaceutical / Life Science / Medical Device / Clinical Research / Regulatory Affairs",3-6 Years,Not Specified,Clinical Operations Senior/Executive **HEALTHCARE - OFFICE HOURS**
Recruit Express Pte. Ltd,"Skills : Administrative Support / Secretarial , Customer Service , Human Resource , Marketing / Public Relations / Media / Advertising Posted: 20 hours ago",Not Specified,"Job Description : Temp Admin Assistant * Provide admin assistance to the department. * Assist to update guest list attendance. * Assist in paperwork, data entry, filing, scanning and updating marketing collaterals. * Ad-hoc administrati",Temp Admin Assistant - Immediate - Attractive Salary & Training Provided!
Recruit Express Pte. Ltd,Skills : Administrative Support / Secretarial Posted: 20 hours ago,Not Specified,"Job Description : Contract Admin Assistant (Immediate/ MNC) – Ref: NSJ Responsibilities: * Checking of documents * Scanning * Filling * Data Entry * General administrative as assigned To apply, please email your detailed CV in MS W",Contract Admin Assistant (Immediate/ MNC) – Ref: NSJ
Oracle Corporation Asia Pacific Division,"Job Description : Preferred Qualifications Empowering and Accelerating the Modern Business with Integrated Cloud Applications and Platform Services Oracle is one of the largest global IT and Cloud solution provider. Oracle offers a comprehensive Skills : Applications Developer 3 , data modelling foundations , data warehouse solutions , business intelligence systems",2-5 Years,Not Specified,Applications Developer 3
APBA TG HUMAN RESOURCE PTE LTD,"Job Requirements: 7+ years of experience in consulting and / or presales in an IT Service and software environment 5+ years of experience in SAP portfolio both software and services Experience with the company's product is an advantage ( Data Migrati Skills : SAP Presales Expert , SAP portfolio , Data Migration , Data Governance",7-10 Years,Not Specified,SAP Presales Expert
Sciente Consulting Pte. Ltd,"A global bank is looking for an experienced Front-end Web Developer to establish the bank's front-end technologies. Skills : HTML/CSS , Javascript , react.js",3-13 Years,Not Specified,Front-End Web Developer
NLS Limited,"We are looking for Client Success Manager role in Singapore. Minimum 2 years of relevant experience plus in digital marketing, media, advertising industry. Skills : Customer Success Manager , Customer Support , customer excellence manager , Customer Support Executive",2-6 Years,Not Specified,Client Success Manager
Optimum Solutions (Singapore) Pte Ltd,"Opportunity for a DevOps Engineer with a background on Cloud Infrastructure Skills : Chef , Devops , AWS , Azure , Microservices , Scripting , Api Integration , Version Control Tools , Ansible",6-10 Years,Not Specified,DevOps Engineer (Cloud)
GMP Technologies,"In charge of risk management process, maintain risk management procedure and risk management framework. Skills : Validation , Medical , Engineering",2-6 Years,Not Specified,QA Engineer (Validation/ Medical Devices/ West)
DBS Bank Ltd,"Skills : Ed , Head of Consumer Banking Branch & Self Service Banking Tech , Group Consumer Banking and Big D... Posted: a month ago",0-0 SGD,"Business Function Group Technology and Operations (T&O) enables and empowers the bank with an efficient, nimble and resilient infrastructure through a strategic focus on productivity, quality & contr","ED, Head of Consumer Banking Branch & Self Service Banking Tech, Group Consumer Banking and Big D..."
Sciente International Pte Ltd,"An exciting opportunity as a Windows Security Engineer to support IT Infrastructure in a multi-national and dynamic company. Skills : IT Storage/ Backup , troubleshoot hardware & software , Windows Server Administration",2-7 Years,Not Specified,Windows Security Engineer
Collabera Technologies Private Limited Inc,"We are hiring network engineer, interested candidate may apply there profile here. Skills : Avaya , Mpls , Atm , Ccnp , CCIE , Cisco , Juniper , Ccna , Lan , Router , Wan , BGP , OSPF , HSRP , Frame Relay",6-10 Years,"5,500-6,500 SGD",Network Engineer
Optimum Solutions (Singapore) Pte Ltd,"Network Engineering and Management for Government projects Skills : Cisco ASACisco Nexus , Switching , Network Engineer , Ccna , Ccnp , Juniper , Checkpoint Firewall , Tacacs+",3-8 Years,"40,000-67,000 SGD",Network Engineer - L2 (Government Projects)
Sciente Consulting Pte. Ltd,"Are you looking for a new opportunity? Our client in the financial services sector is seeking a System Administrator to be a part of their team. Skills : Desktop Support Engineer , Hardware Engineer , It Administrator , It Help Desk , Laptop Support , It Service Desk",1-8 Years,Not Specified,System Administrator
Sciente Consulting Pte. Ltd,"An exciting opportunity for an experienced Front-end Developer to work within a UX team to establish the organisation's front-end technologies and digital projects. Skills : Front End Developer , UI Developer , CSS , Css3 , HTML , Html 5 , Javascript , jQuery , Vue , Js , react.js , Node.js",4-10 Years,Not Specified,Front-End Developer
Peoplebank Singapore Pte Ltd,"Provide level 1 call, email, chat and/or enrollments support for multiple products and services. Skills : Customer Services , Banking Operations , Customer Support , Customer Services",1-3 Years,"2,500-3,500 SGD",Customer Service Representative
Keyteo Consulting Pte Ltd,"KEYTEO is an international and independent group, which grows in a cooperative spirit. Being determined to evolve through an open communication, our employees are directly involved in the center of our projects. Skills : Javascript , HTML , CSS , MVC framework , Jquery , Reactjs , AJAX , Restful Api",6-10 Years,Not Specified,Full stack Developer - javascript
Optimum Solutions (Singapore) Pte Ltd,"In a challenging and multicultural environment, we are looking for a Senior Software Developer to join our Corporate IT Department. Skills : ngnix , Java , RESTful , Node.js , Vue Js , Angular , react.js , Sql , Git , Node JS",6-10 Years,Not Specified,Java Senior Software Developer
Government Technology Agency of Singapore,Skills : Network Infrastructure Engineer Posted: 6 days ago,0-0 SGD,The Government Infrastructure Group (GIG) is responsible for providing the ICT Infrastructure where the whole government will rely on for its digitalization effort and smart nation initiatives. The in,Network Infrastructure Engineer
Ariston Services Pte Ltd,"Provide IT Desktop Support. Skills : Hardware , IT Support , Desktop , Desktop support , Software Support",1-11 Years,Not Specified,Desktop Support Engineer
Techcom Solutions Pte Ltd,"Must have worked in Dynamics 365 Field Service Automation and Project Service Automation. Skills : Dynamics 365 Field Service , Azure integration services",7-9 Years,Not Specified,MS Dynamics 365 Field Service
PrimeStaff Management Services Pte Ltd,"Technical Development Manager/ Java Lead with 10 years of experience in Agile Project Management or Java Application Development. Skills : Java developer , Java Programmer , Project Management , Leadership , Agile Methodology , Java , Hibernate",8-18 Years,Not Specified,Application Development Manager/ Lead (Java) - Up to 10K
Sciente International Pte Ltd,"Our client is looking for a creative and collaborative Data Architect who will be responsible to design and implement data architecture and manage at the enterprise level. Skills : Data Optimization , Data Architecture , Data Management , Data Mining , Data Management",3-13 Years,Not Specified,Senior Manager (Data Architecture)
Talent Trader Group Pte Ltd,"Android Application Developer. Skills : Android SDK , Sdk , Java , J2EE , HTML , CSS , REST , RESTful , Api , Json , AJAX",0-5 Years,Not Specified,Mobile Application Developer (Android)
Collabera Technologies Private Limited Inc,"We are looking for an iOS developer responsible for the development and maintenance of applications aimed at a range of iOS Mobile devices. Skills : ios developer , C Developer , Mobile DeveloperMobile Application Developer",4-8 Years,Not Specified,iOS developer
DBS Bank Ltd,"Skills : Vp , Sustainability Manager , Corporate Real Estate Strategy & Administration (CRESA) , Technology &... Posted: a month ago",0-0 SGD,"Business Function Group Technology and Operations (T&O) enables and empowers the bank with an efficient, nimble and resilient infrastructure through a strategic focus on productivity, quality & contr","VP, Sustainability Manager, Corporate Real Estate Strategy & Administration (CRESA), Technology &..."
Collabera Technologies Private Limited Inc,"We are hiring python developer, interested candidates may apply. Skills : Flask Pyramid , Python Developers , DJANGO , Javascript",6-9 Years,Not Specified,Python Developer
Centre for Strategic Infocomm Technologies,"CSIT is an agency in the Ministry of Defence (MINDEF) that conducts R&D in infocomm and infosecurity technologies. Skills : end-to-end recruitment cycle , Sourcing , Placement , Staffing , Hiring , Recruitment , Talent Acquisition",2-12 Years,Not Specified,Technical Recruiter
Company Name Confidential,"Our client is an established organization within the Banking & Financial Services domain. It will be an excellent opportunity to take up interesting .NET / Python development projects in a global environment. Skills : C#.net , C# Developer , C#",2-7 Years,Not Specified,Application Engineer (.NET)
Sciente International Pte Ltd,"Seeking a dynamic Pre-sales Consultant with strong technical knowledge in IT infrastructure to be part of a well-established global organization specialized in offering ICT ( Information Communications Technologies) solutions. Skills : Presales , System Consultant , Consulting , Infrastructure , Solutioning , System Engineering , It Infrastructure",7-12 Years,Not Specified,IT Presales Consultant (Infrastructure)
SnapHunt Pte Ltd,"As a Growth Hacker, you will be planning, leading and executing events of different scales that will boost business development and customer relationship building.You will play a primary role in managing relationships with external marketing agencies Skills : Growth Hacking , Social Media , Content Management , Digital Marketing , content planning",0-5 Years,Not Specified,Growth Hacker
Anchor Search Group Pte Ltd,"A Great opportunity for Senior Automation R&D Engineer - Vision System in SINGAPORE. Skills : Oscilloscope , Multimeter , micro-controllers , Automation R&D Engineer , VB , Visual C++ , Java",8-15 Years,Not Specified,Senior Automation R&D Engineer - Vision System
Government Technology Agency of Singapore,"Skills : Assistant Director , Platform Business Operations Posted: a month ago",0-0 SGD,The Platform Business Operations Lead provides the end-to-end management on Whole-Of-Government (WOG) Digitalised Governance Platform business operations. With a user centric-mindset and experienced i,"Assistant Director, Platform Business Operations"
Optimum Solutions (Singapore) Pte Ltd,"We are seeking for a Field Technical Support who will install, upgrade, support, and troubleshoot Windows Operating System and other authorized desktop applications. Skills : end user support , Troubleshoot , Technical Support",1-3 Years,Not Specified,Field Technical Support
Charterhouse Pte Ltd,"Our Client is one of the leading FMCG company adn they are currently looking for IT audit Manager Skills : It Audit , Risk Management , Risk , Audit , Internal Audit , BIG 4",3-6 Years,Not Specified,IT Audit Manager
Accion Labs Pte Ltd,"Job Opportunity: Data Steward/Data Operations Support – Position based in Singapore Skills : DataStage ETL , Data Analysis , Data troubleshooting , Data querying , data reconciliation , Etl , Oracle Pl/Sql",4-9 Years,Not Specified,Data Steward/Data Operations Support
Government Technology Agency of Singapore,"Skills : Senior Infrastructure Engineer/Infrastructure Engineer , Network Posted: 18 days ago",0-0 SGD,The Government Infrastructure Group (GIG) is responsible for providing the ICT Infrastructure where the whole government will rely on for its digitalization effort and smart nation initiatives. The in,"Senior Infrastructure Engineer/Infrastructure Engineer, Network"
DBS Bank Ltd,"Skills : VP / AVP , Technology Risk Manager , Operational Risk Management , Group Tech COO , Technology & Oper... Posted: 20 days ago",0-0 SGD,"Business Function Group Technology and Operations (T&O) enables and empowers the bank with an efficient, nimble and resilient infrastructure through a strategic focus on productivity, quality & contr","VP / AVP, Technology Risk Manager, Operational Risk Management, Group Tech COO, Technology & Oper..."
GMP Technologies,"We are sourcing for an Industry 4.0 Technical Subject Matter Expert who is keen to take up a Training and Development role as a Senior IT Specialist. Suitable candidate must be familiar with Automated Manufacturing processes and equipment. Skills : Industry 4.0 , Acta , Automated Manufacturing processes and equipment",3-5 Years,Not Specified,Industry 4.0 Technical Subject Matter Expert (Training & Development) - Singapore Citizens only
Government Technology Agency of Singapore,"Skills : infrastructure engineer , Identity and Access Management (IAM) Posted: 18 days ago",0-0 SGD,The Government Infrastructure Group (GIG) is responsible for providing the ICT Infrastructure where the whole government will rely on for its digitalization effort and smart nation initiatives. The in,"Infrastructure Engineer, Identity and Access Management (IAM)"
Maventree Technology Pte Ltd,"Project Management. Responsibilities include assist the Programme / Project Manager to manage and ensure timely deliverables by the Contractors. Skills : SAP-HCM , AP HCM ERP , Sap Hcm Consultant , Sap Hcm Functional Consultant",3-7 Years,Not Specified,SAP Consultant (HCM)
DBS Bank Ltd,"Skills : Head of Portfolio Management & Strategic Initiatives - PayLah! Product , Consumer Banking Group Posted: 22 days ago",0-0 SGD,"Business Function As the leading bank in Asia, DBS Consumer Banking Group is in a unique position to help our customers realise their dreams and ambitions. As a market leader in the consumer banking","Head of Portfolio Management & Strategic Initiatives - PayLah! Product, Consumer Banking Group"
SnapHunt Pte Ltd,"Make an impact on learning and education across Asia Skills : Business Development , Client Servicing , Lead Generation , Market Development , Client Acquisition",4-14 Years,Not Specified,Business Development & Partnerships
Charterhouse Pte Ltd,"Looking for a Manager, Medical Affairs Skills : Medical Affairs Manager , Medical Education Manager , Programme Manager , Education Manager , Training Manager",4-7 Years,Not Specified,"Manager, Medical Affairs"
Sciente International Pte Ltd,"Seeking for a dynamic front-end development engineer to develop interactive User Experience & Interface for in-house software products and platform for deep learning and analytics. Skills : Web Programmer , Php developer , Css3 , Html5 , UI , Ux , Javascript",3-13 Years,Not Specified,UX/UI Engineer
Collabera Technologies Private Limited Inc,"Work in Data Center environment - 12 hr rotational shifts Skills : 2FA , Two factor authentication , Access Management , user access , Ms Access Management , Identity & Access",2-7 Years,"1,800-2,900 SGD",Data Center Operator
SnapHunt Pte Ltd,"As a Senior Executive, you will be developing and implementing sourcing strategies together with cross-functional teams across the organisation. Skills : Procurement , Sourcing , Purchase , Supply Chain Management , Vendor development , Supply Chain",1-5 Years,Not Specified,Senior Executive - Procurement
Applied Materials South East Asia Pte Ltd,Skills : Manufacturing Technician Posted: 17 days ago,Not Specified,"Key Responsibilities 1. Utilizes routine work orders, schematics, wiring diagrams, parts and wire lists, written and/or verbal instructions to build, repair and/or test electrical, electro-mechanic",Manufacturing Technician
Government Technology Agency of Singapore,Skills : Service Designer Posted: 19 days ago,0-0 SGD,"As part of the Government Digital Services (GDS) Team, the ACE tribe aims to design and develop software applications that help government agencies better serve the needs of Singaporeans. We adopt an",Service Designer
Optimum Solutions (Singapore) Pte Ltd,"To support the Business Development Team to achieve stipulated target deployment timeline to their merchants. We perform Merchant onboarding on various platforms and generating of SGQR ID. Skills : merchant operations , Kyc , Aml",1-5 Years,"3,000-4,500 SGD",Merchant Operations Executive (Payment + KYC/AML 6 Months Contract)
GMP Technologies,"Providing operational support and management in UNIX/Linux environment. Skills : operations , Redhat , UNIX , Linux , Itil , Vmware",3-10 Years,Not Specified,Redhat Linux Engineer (Operations) - Perm
DBS Bank Ltd,"Skills : Specialist , Strategic Business Planning , Consumer Banking Posted: a month ago",0-0 SGD,"Business Function As the leading bank in Asia, DBS Consumer Banking Group is in a unique position to help our customers realise their dreams and ambitions. As a market leader in the consumer banking","Specialist, Strategic Business Planning, Consumer Banking"
